旬,乌东德_入库流量(m³/s),乌东德_出库流量(m³/s),乌东德_水位(m),乌东德_出力(MW),乌东德_发电量(万kWh),乌东德_发电流量(m³/s),乌东德_弃水流量(m³/s),乌东德-白鹤滩区间来水(m³/s),白鹤滩_入库流量(m³/s),白鹤滩_出库流量(m³/s),白鹤滩_水位(m),白鹤滩_出力(MW),白鹤滩_发电量(万kWh),白鹤滩_发电流量(m³/s),白鹤滩_弃水流量(m³/s),白鹤滩-溪洛渡区间来水(m³/s),溪洛渡_入库流量(m³/s),溪洛渡_出库流量(m³/s),溪洛渡_水位(m),溪洛渡_出力(MW),溪洛渡_发电量(万kWh),溪洛渡_发电流量(m³/s),溪洛渡_弃水流量(m³/s),溪洛渡-向家坝区间来水(m³/s),向家坝_入库流量(m³/s),向家坝_出库流量(m³/s),向家坝_水位(m),向家坝_出力(MW),向家坝_发电量(万kWh),向家坝_发电流量(m³/s),向家坝_弃水流量(m³/s),向家坝-三峡区间来水(m³/s),三峡_入库流量(m³/s),三峡_出库流量(m³/s),三峡_水位(m),三峡_出力(MW),三峡_发电量(万kWh),三峡_发电流量(m³/s),三峡_弃水流量(m³/s),三峡-葛洲坝区间来水(m³/s),葛洲坝_出库流量(m³/s),葛洲坝_水位(m),葛洲坝_出力(MW),葛洲坝_发电量(万kWh),葛洲坝_发电流量(m³/s),葛洲坝_弃水流量(m³/s)
1,2150,2150.0,974.5,2859.64,69592.09,2150.0,0.0,-70,2080.0,3415.35,819.11,6782.55,165060.23,3415.35,0.0,330,3745.35,3748.18,599.48,7113.42,173112.23,3748.18,0.0,-50,3698.18,4589.45,371.0,4103.56,99864.22,4589.45,0.0,4640,9229.45,12577.1,171.58,11675.15,284126.42,12577.1,0.0,280.0,13017.73,64.53,2428.71,59105.06,13017.73,0.0
2,3000,3954.7,967.66,5020.51,122179.16,3954.7,0.0,200,4154.7,6239.39,810.17,11747.13,285878.15,6239.39,0.0,70,6309.39,6405.64,598.86,11902.68,289663.53,6405.64,0.0,-40,6365.64,6365.64,371.0,5374.46,130792.97,6365.64,0.0,5440,11805.64,9589.46,173.52,8891.25,216377.45,9589.46,0.0,210.0,9912.56,63.0,1814.56,44159.22,9912.56,0.0
3,2350,2689.12,964.96,3361.61,81808.11,2689.12,0.0,200,2889.12,2226.75,813.01,4280.04,104158.95,2226.75,0.0,30,2256.75,2157.67,599.5,4145.18,100877.04,2157.67,0.0,-30,2127.67,1881.77,373.43,1688.48,41090.82,1881.77,0.0,4550,6431.77,5607.71,174.24,5276.54,128409.92,5607.71,0.0,110.0,5500.0,65.83,1134.49,27608.91,5500.0,0.0
4,1800,900.0,971.82,1175.94,28617.73,900.0,0.0,270,1170.0,1219.78,812.8,2388.62,58129.36,1219.78,0.0,0,1219.78,2188.93,593.08,4150.35,101002.88,2188.93,0.0,-40,2148.93,2093.01,373.97,1898.22,46195.15,2093.01,0.0,3690,5783.01,5475.59,174.5,5175.55,125952.15,5475.59,0.0,70.0,5500.0,66.38,1213.41,29529.65,5500.0,0.0
5,1430,1036.18,974.5,1394.86,33945.33,1036.18,0.0,-40,996.18,1640.42,810.04,3173.67,77234.33,1640.42,0.0,320,1960.42,1200.0,598.14,2279.29,55468.8,1200.0,0.0,-10,1190.0,1700.0,368.88,1518.69,36958.77,1700.0,0.0,2860,4560.0,11352.8,168.39,10399.89,253091.7,11352.8,0.0,90.0,11575.6,64.77,2224.98,54147.07,11575.6,0.0
6,1630,2768.56,966.19,3551.81,86436.94,2768.56,0.0,-60,2708.56,1260.0,816.25,2468.58,60075.47,1260.0,0.0,300,1560.0,2999.62,588.4,5570.84,135571.85,2999.62,0.0,-10,2989.62,2467.42,374.09,2179.47,53039.49,2467.42,0.0,3510,5977.42,6337.12,168.05,5655.19,137624.77,6337.12,0.0,60.0,6253.89,66.5,1334.83,32484.49,6253.89,0.0
7,1640,1160.0,970.02,1507.71,36691.67,1160.0,0.0,-70,1090.0,1260.82,815.51,2499.52,60828.2,1260.82,0.0,250,1510.82,3345.24,574.95,5864.19,142711.01,3345.24,0.0,0,3345.24,2768.01,379.5,2559.83,62296.1,2768.01,0.0,4000,6768.01,6381.31,168.42,5695.1,138595.89,6381.31,0.0,40.0,6445.74,66.21,1410.34,34321.96,6445.74,0.0
8,1650,1160.0,973.35,1543.01,37550.65,1160.0,0.0,230,1390.0,1260.0,816.07,2496.97,60766.3,1260.0,0.0,-30,1230.0,1811.64,570.39,3081.02,74979.64,1811.64,0.0,-20,1791.64,1791.65,379.5,1720.84,41878.38,1791.65,0.0,4960,6751.65,5164.72,169.91,4654.63,113275.16,5164.72,0.0,80.0,5500.0,62.92,1141.35,27775.95,5500.0,0.0
9,1330,1486.73,972.29,1978.41,48146.46,1486.73,0.0,60,1546.73,5121.37,800.04,9439.34,229715.79,5121.37,0.0,140,5261.37,4945.19,572.89,8129.47,197838.88,4945.19,0.0,-10,4935.19,4935.17,379.5,4576.75,111379.72,4935.17,0.0,5540,10475.17,5296.3,174.5,4909.63,119480.72,5296.3,0.0,230.0,5500.0,63.28,1072.81,26107.84,5500.0,0.0
10,1470,2515.54,964.34,3195.76,77771.9,2515.54,0.0,-30,2485.54,1695.56,803.69,3140.26,76421.32,1695.56,0.0,171,1866.56,1581.19,575.11,2711.34,65983.16,1581.19,0.0,-30,1551.19,1700.0,378.14,1625.53,39558.94,1700.0,0.0,6230,7930.0,9394.32,173.24,8816.28,214552.97,9394.32,0.0,410.0,9550.9,66.5,1852.68,45086.94,9550.9,0.0
11,2180,1720.59,968.01,2182.92,53123.43,1720.59,0.0,130,1850.59,2631.75,800.09,4819.27,117281.74,2631.75,0.0,48,2679.75,1200.0,586.04,2125.92,51736.35,1200.0,0.0,40,1240.0,1982.45,371.0,1815.67,44186.13,1982.45,0.0,6900,8882.45,13630.32,168.95,12412.88,302079.86,13630.32,0.0,400.0,14268.49,63.49,2535.55,61705.04,14268.49,0.0
12,2760,2699.36,968.49,3418.4,83190.09,2699.36,0.0,210,2909.36,1813.36,805.14,3364.38,81875.47,1813.36,0.0,-50,1763.36,1200.0,589.99,2201.84,53583.88,1200.0,0.0,80,1280.0,1700.0,366.66,1481.15,36045.22,1700.0,0.0,8410,10110.0,16119.11,162.75,13910.24,338519.55,16119.11,0.0,800.0,16749.98,65.68,2715.0,66072.24,16363.28,386.7
13,1710,1520.67,970.0,1976.06,48089.43,1520.67,0.0,550,2070.67,1260.0,808.88,2402.93,58477.58,1260.0,0.0,-354,906.0,3181.01,573.31,5584.14,135895.63,3181.01,0.0,100,3281.01,1969.75,379.5,1779.42,43303.91,1969.75,0.0,8820,10789.75,11215.75,162.27,9424.31,229350.13,11215.75,0.0,500.0,11646.71,66.5,2286.92,55654.46,11646.71,0.0
14,1930,3111.23,960.58,3838.35,93410.18,3111.23,0.0,750,3861.23,1308.28,819.9,2575.43,62675.74,1308.28,0.0,-570,738.28,2554.89,558.19,4165.79,101378.62,2554.89,0.0,-20,2534.89,2676.29,378.21,2524.82,61443.96,2676.29,0.0,10740,13416.29,5855.68,170.0,5123.6,124687.9,5855.68,0.0,1000.0,6984.1,64.96,1475.73,35913.39,6984.1,0.0
15,1540,1160.0,963.61,1448.41,35248.45,1160.0,0.0,160,1320.0,4451.77,806.21,8437.28,205329.61,4451.77,0.0,50,4501.77,2162.42,577.32,3576.58,87039.61,2162.42,0.0,-30,2132.42,2009.83,379.33,1911.7,46523.12,2009.83,0.0,9060,11069.83,24495.7,155.0,20128.17,489839.24,24495.7,0.0,400.0,25026.01,63.21,2715.0,66072.24,19770.86,5255.15
16,2180,2005.51,965.0,2499.26,60821.96,2005.51,0.0,-40,1965.51,3311.83,800.0,6056.34,147387.05,3311.83,0.0,290,3601.83,6038.6,557.32,9614.09,233968.38,6038.6,0.0,-10,6028.6,6009.78,379.5,5519.23,134316.1,6009.78,0.0,8160,14169.78,18975.74,148.0,13976.89,340141.58,18975.74,0.0,400.0,19285.4,64.43,2715.0,66072.24,17929.34,1356.06
17,4020,4020.0,965.0,4891.66,119043.48,4020.0,0.0,-140,3880.0,3880.0,800.0,6956.02,169281.77,3880.0,0.0,280,4160.0,5952.84,540.0,8540.06,207830.88,5952.84,0.0,-10,5942.84,5942.84,379.5,5464.98,132995.8,5942.84,0.0,10400,16342.84,16342.84,148.0,11618.98,282759.41,16342.84,0.0,400.0,16806.89,63.57,2701.92,65754.01,16806.89,0.0
18,4690,6168.59,952.0,6970.8,169641.41,6168.59,0.0,60,6228.59,9154.51,785.0,15127.97,368154.27,9154.51,0.0,280,9434.51,7788.57,556.01,10949.12,266457.89,7788.57,0.0,-90,7698.57,7698.57,379.5,6400.0,155750.4,7052.74,645.82,11970,19668.57,19668.57,148.0,13880.57,337797.49,19668.57,0.0,700.0,20231.49,65.36,2715.0,66072.24,17622.47,2609.01
19,5660,5393.8,954.5,5913.65,143914.57,5393.8,0.0,180,5573.8,5114.31,787.5,8478.85,206341.24,5114.31,0.0,620,5734.31,5053.75,562.0,7757.41,188784.34,5053.75,0.0,-160,4893.75,4893.75,379.5,4540.02,110486.0,4893.75,0.0,18440,23333.75,10171.37,165.0,8038.12,195615.64,10171.37,0.0,1300.0,11377.02,66.49,2229.3,54252.32,11377.02,0.0
20,5120,2619.42,974.5,3237.67,78792.04,2619.42,0.0,160,2779.42,1915.59,792.01,3339.63,81273.29,1915.59,0.0,610,2525.59,1201.49,572.87,1994.39,48535.53,1201.49,0.0,-80,1121.49,2012.75,371.0,1854.19,45123.49,2012.75,0.0,26510,28522.75,28522.75,165.0,22500.0,547560.0,26885.85,1636.9,1400.0,29921.73,66.5,2715.0,66072.24,18661.94,11259.79
21,4870,4917.59,974.18,6307.85,153507.83,4917.59,0.0,270,5187.59,1160.0,811.1,2161.46,52601.39,1160.0,0.0,550,1710.0,2396.79,567.36,4003.13,97420.21,2396.79,0.0,0,2396.79,1700.0,377.72,1561.07,37990.08,1700.0,0.0,17680,19380.0,19380.0,165.0,16486.84,401223.67,19380.0,0.0,1300.0,20953.73,63.0,2715.0,66072.24,17583.2,3370.52
22,4890,7353.91,954.4,8564.16,208417.3,7353.91,0.0,150,7503.91,4300.65,824.5,8333.67,202808.31,4300.65,0.0,580,4880.65,2239.19,587.36,3883.55,94510.14,2239.19,0.0,-130,2109.19,1914.71,379.5,1821.2,44320.69,1914.71,0.0,11790,13704.71,13704.71,165.0,11770.04,286435.81,13704.71,0.0,800.0,14231.41,66.49,2500.97,60863.53,14231.41,0.0
23,5730,3233.57,974.4,3958.29,96328.92,3233.57,0.0,60,3293.57,7940.77,804.53,14744.26,358816.31,7940.77,0.0,880,8820.77,7024.43,599.5,12655.01,307972.33,7024.43,0.0,20,7044.43,7044.43,379.5,6400.0,155750.4,7019.08,25.35,17720,24764.43,24764.43,165.0,20865.28,507777.4,24764.43,0.0,1300.0,26141.26,65.58,2715.0,66072.24,17980.23,8161.03
24,9120,9104.93,974.5,10200.0,248227.2,8281.71,823.22,40,9144.93,7012.19,814.05,12803.99,311597.78,7012.19,0.0,810,7822.19,7822.19,599.5,13860.0,337296.96,7519.98,302.21,0,7822.19,7822.19,379.5,6400.0,155750.4,7058.93,763.26,31510,39332.19,39332.19,165.0,22500.0,547560.0,27503.75,11828.44,1700.0,41205.96,63.31,2715.0,66072.24,25989.93,15216.03
25,10800,10938.75,973.56,10200.0,248227.2,8429.44,2509.31,0,10938.75,8424.29,824.5,15925.48,387562.38,8424.29,0.0,780,9204.29,9204.29,599.5,13860.0,337296.96,7581.0,1623.29,200,9404.29,9686.89,376.9,6400.0,155750.4,7236.66,2450.23,28830,38516.89,38516.89,165.0,22500.0,547560.0,27454.86,11062.03,1900.0,40422.4,63.24,2715.0,66072.24,28290.88,12131.53
26,9460,9321.25,974.5,10200.0,248227.2,8321.4,999.85,60,9381.25,9381.25,824.5,16000.0,389376.0,8327.63,1053.62,760,10141.25,10141.25,599.5,13860.0,337296.96,7620.92,2520.33,150,10291.25,10008.65,379.5,6400.0,155750.4,7251.81,2756.84,22420,32428.65,32428.65,165.0,22500.0,547560.0,27098.9,5329.75,2100.0,34272.11,66.5,2715.0,66072.24,22290.23,11981.88
27,6340,6340.0,974.5,8011.5,194967.94,6340.0,0.0,-30,6310.0,10962.72,804.5,16000.0,389376.0,8811.38,2151.34,550,11512.72,11552.14,599.24,13860.0,337296.96,7678.47,3873.68,-80,11472.14,11841.22,376.08,6400.0,155750.4,7366.37,4474.85,21520,33361.22,28291.78,170.0,22500.0,547560.0,26208.29,2083.49,1800.0,30091.78,66.5,2715.0,66072.24,18707.16,11384.61
28,5440,5440.0,974.5,6943.17,168968.92,5440.0,0.0,30,5470.0,2663.4,816.92,5075.21,123510.21,2663.4,0.0,330,2993.4,3989.37,592.63,7434.92,180936.28,3989.37,0.0,-120,3869.37,3500.29,379.5,3240.0,78848.67,3500.29,0.0,19580,23080.29,23080.29,170.0,20486.15,498550.88,23080.29,0.0,1700.0,24780.29,66.5,2715.0,66072.24,17126.35,7653.94
29,4520,4520.0,974.5,5830.81,141898.62,4520.0,0.0,40,4560.0,2713.88,824.5,5399.22,131395.52,2713.88,0.0,370,3083.88,3364.61,590.71,6182.81,150464.76,3364.61,0.0,-110,3254.61,3254.61,379.5,3067.94,74661.39,3254.61,0.0,12300,15554.61,12201.21,173.0,11171.69,271874.23,12201.21,0.0,900.0,13128.74,66.17,2535.74,61709.68,13128.74,0.0
30,4280,4753.36,971.28,6050.29,147239.9,4753.36,0.0,80,4833.36,4833.36,824.5,9604.17,233727.18,4833.36,0.0,360,5193.36,3936.6,599.11,7305.67,177790.82,3936.6,0.0,-70,3866.6,3918.47,379.03,3660.7,89086.73,3918.47,0.0,9160,13078.47,11345.18,174.5,10615.06,258328.0,11345.18,0.0,600.0,11917.65,66.5,2353.43,57273.1,11917.65,0.0
31,3330,2856.64,974.5,3721.81,90573.97,2856.64,0.0,60,2916.64,2916.64,824.5,5884.33,143201.03,2916.64,0.0,260,3176.64,3117.27,599.5,5943.3,144636.05,3117.27,0.0,-50,3067.27,3015.41,379.5,2843.97,69210.79,3015.41,0.0,7540,10555.41,10555.41,174.5,9952.25,242198.02,10555.41,0.0,400.0,10955.41,66.5,2217.18,53957.18,10955.41,0.0
32,2720,2720.0,974.5,3588.03,87318.29,2720.0,0.0,260,2980.0,2980.0,824.5,6008.25,146216.67,2980.0,0.0,190,3170.0,3170.0,599.5,6046.29,147142.41,3170.0,0.0,-70,3100.0,3100.0,379.5,2927.16,71235.26,3100.0,0.0,5960,9060.0,9060.0,174.5,8553.04,208146.75,9060.0,0.0,400.0,9723.77,63.14,1873.92,45603.74,9723.77,0.0
33,2510,2510.0,974.5,3320.96,80818.86,2510.0,0.0,140,2650.0,2650.0,824.5,5361.04,130466.27,2650.0,0.0,100,2750.0,2750.0,599.5,5264.05,128105.92,2750.0,0.0,-30,2720.0,2720.0,379.5,2579.53,62775.48,2720.0,0.0,5660,8380.0,8380.0,174.5,7914.51,192607.46,8380.0,0.0,300.0,8651.84,63.52,1593.84,38787.61,8651.84,0.0
34,1760,1760.0,974.5,2355.86,57332.33,1760.0,0.0,140,1900.0,1900.0,824.5,3874.32,94285.46,1900.0,0.0,120,2020.0,2020.0,599.5,3890.75,94685.28,2020.0,0.0,-40,1980.0,1980.0,379.5,1896.46,46152.26,1980.0,0.0,3670,5650.0,5650.0,174.5,5345.9,130097.89,5650.0,0.0,220.0,5686.07,65.89,1182.25,28771.35,5686.07,0.0
35,1810,1810.0,974.5,2420.69,58909.79,1810.0,0.0,120,1930.0,1930.0,824.5,3933.99,95737.53,1930.0,0.0,110,2040.0,2040.0,599.5,3928.61,95606.55,2040.0,0.0,-40,2000.0,2000.0,379.5,1915.05,46604.66,2000.0,0.0,3480,5480.0,5480.0,174.5,5185.84,126202.71,5480.0,0.0,140.0,5585.52,66.3,1229.59,29923.24,5585.52,0.0
36,1970,1970.0,974.5,2627.33,63938.64,1970.0,0.0,160,2130.0,2130.0,824.5,4332.03,105424.38,2130.0,0.0,130,2260.0,2260.0,599.5,4344.16,105719.59,2260.0,0.0,-50,2210.0,2210.0,379.5,2109.9,51346.45,2210.0,0.0,3870,6080.0,6080.0,174.5,5751.05,139957.64,6080.0,0.0,140.0,6202.81,66.5,1365.59,33233.06,6202.81,0.0
