库容,水位
0,50.1
0.002,50.8
0.003,50.9
0.005,51
0.016,51.5
0.018,51.6
0.021,51.7
0.023,51.8
0.026,51.9
0.045,52.5
0.048,52.6
0.052,52.7
0.059,52.9
0.063,53
0.072,53.2
0.076,53.3
0.085,53.5
0.089,53.6
0.094,53.7
0.13,54.4
0.135,54.5
0.141,54.6
0.152,54.8
0.158,54.9
0.165,55
0.171,55.1
0.19,55.4
0.196,55.5
0.203,55.6
0.253,56.3
0.26,56.4
0.268,56.5
0.333,57.3
0.341,57.4
0.35,57.5
0.414,58.2
0.423,58.3
0.433,58.4
0.442,58.5
0.452,58.6
0.513,59.2
0.534,59.4
0.545,59.5
0.623,60.2
0.646,60.4
0.659,60.5
0.671,60.6
0.696,60.8
0.708,60.9
0.721,61
0.748,61.2
0.761,61.3
0.775,61.4
0.788,61.5
0.802,61.6
0.831,61.8
0.845,61.9
0.86,62
0.874,62.1
0.889,62.2
0.95,62.6
0.965,62.7
0.981,62.8
1.062,63.3
1.078,63.4
1.095,63.5
1.198,64.1
1.215,64.2
1.233,64.3
1.342,64.9
1.36,65
1.379,65.1
1.416,65.3
1.435,65.4
1.474,65.6
1.493,65.7
1.551,66
1.752,67
1.814,67.3
1.835,67.4
1.962,68
1.983,68.1
2.026,68.3
2.047,68.4
2.069,68.5
2.112,68.7
2.134,68.8
2.311,69.6
2.333,69.7
2.4,70
2.445,70.2
2.468,70.3
2.492,70.4
2.515,70.5
2.539,70.6
2.612,70.9
2.636,71
2.662,71.1
2.687,71.2
2.713,71.3
2.766,71.5
2.876,71.9
2.904,72
2.933,72.1
2.992,72.3
3.053,72.5
3.148,72.8
3.18,72.9
3.213,73
3.247,73.1
3.316,73.3
3.387,73.5
3.46,73.7
3.498,73.8
3.576,74
3.615,74.1
3.655,74.2
3.737,74.4
3.822,74.6
3.909,74.8
3.954,74.9
4,75
4.093,75.2
4.141,75.3
4.19,75.4
4.289,75.6
4.39,75.8
4.442,75.9
4.495,76
4.602,76.2
4.711,76.4
4.822,76.6
4.879,76.7
4.994,76.9
5.111,77.1
5.23,77.3
5.351,77.5
5.413,77.6
5.474,77.7
5.536,77.8
5.599,77.9
5.726,78.1
5.919,78.4
6.115,78.7
6.248,78.9
6.384,79.1
6.45,79.2
6.517,79.3
6.586,79.4
6.654,79.5
6.723,79.6
7,80
7.421,80.6
7.491,80.7
7.562,80.8
7.989,81.4
8.06,81.5
8.132,81.6
8.421,82
8.566,82.2
8.64,82.3
8.713,82.4
8.86,82.6
9.157,83
9.231,83.1
9.306,83.2
9.382,83.3
9.457,83.4
9.533,83.5
9.838,83.9
10.07,84.2
10.147,84.3
10.225,84.4
10.304,84.5
10.382,84.6
10.461,84.7
10.541,84.8
10.62,84.9
10.7,85
10.861,85.2
10.941,85.3
11.022,85.4
11.185,85.6
11.266,85.7
11.348,85.8
11.513,86
11.595,86.1
11.678,86.2
11.845,86.4
11.928,86.5
12.012,86.6
12.181,86.8
12.265,86.9
12.35,87
12.606,87.3
13.037,87.8
13.386,88.2
13.827,88.7
14.095,89
14.184,89.1
14.274,89.2
14.545,89.5
14.635,89.6
14.726,89.7
15,90
