库容,水位
0,265
0.014,266
0.029,267
0.048,268
0.07,269
0.099,270
0.135,271
0.178,272
0.228,273
0.285,274
0.348,275
0.418,276
0.494,277
0.577,278
0.666,279
0.761,280
0.863,281
0.971,282
1.087,283
1.208,284
1.337,285
1.472,286
1.615,287
1.764,288
1.919,289
2.081,290
2.249,291
2.425,292
2.607,293
2.798,294
2.998,295
3.207,296
3.425,297
3.653,298
3.889,299
4.134,300
4.388,301
4.65,302
4.92,303
5.199,304
5.484,305
5.777,306
6.077,307
6.384,308
6.7,309
7.024,310
7.356,311
7.697,312
8.045,313
8.4,314
8.762,315
9.13,316
9.504,317
9.885,318
10.272,319
10.666,320
11.067,321
11.474,322
11.889,323
12.31,324
12.738,325
13.173,326
13.614,327
14.062,328
14.517,329
14.978,330
15.446,331
15.921,332
16.403,333
16.891,334
17.387,335
17.89,336
18.4,337
18.918,338
19.444,339
19.978,340
20.52,341
21.071,342
21.631,343
22.2,344
22.779,345
23.367,346
23.966,347
24.574,348
25.194,349
25.825,350
26.468,351
27.122,352
27.788,353
28.465,354
29.155,355
29.856,356
30.569,357
31.293,358
32.027,359
32.77,360
33.523,361
34.285,362
35.056,363
35.837,364
36.628,365
37.429,366
38.239,367
39.061,368
39.893,369
40.736,370
41.59,371
42.456,372
43.332,373
44.22,374
45.117,375
46.025,376
46.943,377
47.872,378
48.814,379
49.767,380
50.733,381
51.709,382
52.692,383
53.681,384
54.672,385
