库容,水位
0,374
0.523,400
1.092,410
1.965,420
3.184,430
4.788,440
6.817,450
9.313,460
12.319,470
15.878,480
20.034,490
24.83,500
30.307,510
36.493,520
43.414,530
51.122,540
51.942,541
52.771,542
53.61,543
54.458,544
55.316,545
56.182,546
57.058,547
57.943,548
58.836,549
59.739,550
60.651,551
61.571,552
62.5,553
63.437,554
64.382,555
65.336,556
66.298,557
67.268,558
68.245,559
69.23,560
70.223,561
71.223,562
72.231,563
73.248,564
74.273,565
75.306,566
76.349,567
77.401,568
78.462,569
79.533,570
80.614,571
81.704,572
82.804,573
83.914,574
85.032,575
86.159,576
87.295,577
88.44,578
89.593,579
90.754,580
91.923,581
93.1,582
94.285,583
95.478,584
96.68,585
97.89,586
99.108,587
100.335,588
101.57,589
102.814,590
104.067,591
105.328,592
106.598,593
107.877,594
109.165,595
110.462,596
111.768,597
113.082,598
114.406,599
115.738,600
117.079,601
118.43,602
119.789,603
121.158,604
121.582,604.23
122.535,605
123.921,606
125.316,607
126.719,608
128.132,609
129.1,609.67
129.553,610
