库容,水位
11.7,59.3
11.705,59.31
12.061,60.02
12.066,60.03
12.072,60.04
12.077,60.05
12.088,60.07
12.093,60.08
12.099,60.09
12.104,60.1
12.115,60.12
12.12,60.13
12.126,60.14
12.131,60.15
12.142,60.17
12.147,60.18
12.153,60.19
12.158,60.2
12.169,60.22
12.174,60.23
12.18,60.24
12.185,60.25
12.196,60.27
12.201,60.28
12.207,60.29
12.212,60.3
12.223,60.32
12.228,60.33
12.234,60.34
12.239,60.35
12.25,60.37
12.255,60.38
12.261,60.39
12.266,60.4
12.277,60.42
12.282,60.43
12.288,60.44
12.293,60.45
12.304,60.47
12.309,60.48
12.315,60.49
12.32,60.5
12.331,60.52
12.336,60.53
12.342,60.54
12.347,60.55
12.358,60.57
12.363,60.58
12.369,60.59
12.374,60.6
12.385,60.62
12.39,60.63
12.396,60.64
12.401,60.65
12.412,60.67
12.417,60.68
12.423,60.69
12.428,60.7
12.439,60.72
12.444,60.73
12.45,60.74
12.455,60.75
12.466,60.77
12.471,60.78
12.477,60.79
12.482,60.8
12.493,60.82
12.498,60.83
12.504,60.84
12.509,60.85
12.52,60.87
12.525,60.88
12.531,60.89
12.536,60.9
12.547,60.92
12.552,60.93
12.558,60.94
12.563,60.95
12.574,60.97
12.579,60.98
12.585,60.99
12.59,61
12.596,61.01
13.203,62.02
13.209,62.03
13.222,62.05
13.228,62.06
13.247,62.09
13.253,62.1
13.266,62.12
13.272,62.13
13.285,62.15
13.291,62.16
13.31,62.19
13.316,62.2
13.329,62.22
13.335,62.23
13.348,62.25
13.354,62.26
13.373,62.29
13.379,62.3
13.392,62.32
13.398,62.33
13.411,62.35
13.417,62.36
13.436,62.39
13.442,62.4
13.455,62.42
13.461,62.43
13.474,62.45
13.48,62.46
13.499,62.49
13.505,62.5
13.518,62.52
13.524,62.53
13.537,62.55
13.543,62.56
13.562,62.59
13.568,62.6
13.581,62.62
13.587,62.63
13.6,62.65
13.606,62.66
13.625,62.69
13.631,62.7
13.644,62.72
13.65,62.73
13.663,62.75
13.669,62.76
13.688,62.79
13.694,62.8
13.707,62.82
13.713,62.83
13.726,62.85
13.732,62.86
13.751,62.89
13.757,62.9
13.77,62.92
13.776,62.93
13.789,62.95
13.795,62.96
13.814,62.99
13.82,63
13.833,63.02
13.839,63.03
13.852,63.05
13.858,63.06
13.877,63.09
13.883,63.1
13.896,63.12
13.902,63.13
13.915,63.15
13.921,63.16
13.94,63.19
13.946,63.2
13.959,63.22
13.965,63.23
13.978,63.25
13.984,63.26
14.003,63.29
14.009,63.3
14.022,63.32
14.028,63.33
14.041,63.35
14.047,63.36
14.066,63.39
14.072,63.4
14.085,63.42
14.091,63.43
14.104,63.45
14.11,63.46
14.129,63.49
14.135,63.5
14.148,63.52
14.154,63.53
14.167,63.55
14.173,63.56
14.192,63.59
14.198,63.6
14.211,63.62
14.217,63.63
14.23,63.65
14.236,63.66
14.255,63.69
14.261,63.7
14.274,63.72
14.28,63.73
14.293,63.75
14.299,63.76
14.318,63.79
14.324,63.8
14.337,63.82
14.343,63.83
14.356,63.85
14.362,63.86
14.381,63.89
14.387,63.9
14.4,63.92
14.406,63.93
14.419,63.95
14.425,63.96
14.444,63.99
14.45,64
14.457,64.01
14.463,64.02
14.47,64.03
14.476,64.04
14.483,64.05
14.489,64.06
14.496,64.07
14.502,64.08
14.509,64.09
14.515,64.1
14.522,64.11
14.528,64.12
14.535,64.13
14.541,64.14
14.548,64.15
14.554,64.16
14.561,64.17
14.567,64.18
14.574,64.19
14.58,64.2
14.587,64.21
14.593,64.22
14.6,64.23
14.606,64.24
14.613,64.25
14.619,64.26
14.626,64.27
14.632,64.28
14.639,64.29
14.645,64.3
14.652,64.31
14.658,64.32
14.665,64.33
14.671,64.34
14.678,64.35
14.684,64.36
14.691,64.37
14.697,64.38
14.704,64.39
14.71,64.4
14.717,64.41
14.723,64.42
14.73,64.43
14.736,64.44
14.743,64.45
14.749,64.46
14.756,64.47
14.762,64.48
14.769,64.49
14.775,64.5
14.782,64.51
14.788,64.52
14.795,64.53
14.801,64.54
14.808,64.55
14.814,64.56
14.821,64.57
14.827,64.58
14.834,64.59
14.84,64.6
14.847,64.61
14.853,64.62
14.86,64.63
14.866,64.64
14.873,64.65
14.879,64.66
14.886,64.67
14.892,64.68
14.899,64.69
14.905,64.7
14.912,64.71
14.918,64.72
14.925,64.73
14.931,64.74
14.938,64.75
14.944,64.76
14.951,64.77
14.957,64.78
14.964,64.79
14.97,64.8
14.977,64.81
14.983,64.82
14.99,64.83
14.996,64.84
15.003,64.85
15.009,64.86
15.016,64.87
15.022,64.88
15.029,64.89
15.035,64.9
15.042,64.91
15.048,64.92
15.055,64.93
15.061,64.94
15.068,64.95
15.074,64.96
15.081,64.97
15.087,64.98
15.094,64.99
15.1,65
15.107,65.01
15.122,65.03
15.129,65.04
15.158,65.08
15.165,65.09
15.194,65.13
15.201,65.14
15.23,65.18
15.237,65.19
15.266,65.23
15.273,65.24
15.302,65.28
15.309,65.29
15.338,65.33
15.345,65.34
15.374,65.38
15.381,65.39
15.41,65.43
15.417,65.44
15.446,65.48
15.453,65.49
15.482,65.53
15.489,65.54
15.518,65.58
15.525,65.59
15.554,65.63
15.561,65.64
15.59,65.68
15.597,65.69
15.626,65.73
15.633,65.74
15.662,65.78
15.669,65.79
15.698,65.83
15.705,65.84
15.734,65.88
15.741,65.89
15.77,65.93
15.777,65.94
15.806,65.98
15.813,65.99
15.835,66.02
15.84,66.03
15.849,66.04
15.857,66.05
15.864,66.06
15.886,66.09
15.893,66.1
15.908,66.12
15.915,66.13
15.93,66.15
15.937,66.16
15.959,66.19
15.966,66.2
15.981,66.22
15.988,66.23
16.003,66.25
16.01,66.26
16.032,66.29
16.039,66.3
16.054,66.32
16.061,66.33
16.083,66.36
16.09,66.37
16.105,66.39
16.112,66.4
16.127,66.42
16.134,66.43
16.149,66.45
16.156,66.46
16.178,66.49
16.185,66.5
16.2,66.52
16.207,66.53
16.222,66.55
16.229,66.56
16.251,66.59
16.258,66.6
16.273,66.62
16.28,66.63
16.295,66.65
16.302,66.66
16.324,66.69
16.331,66.7
16.346,66.72
16.353,66.73
16.368,66.75
16.375,66.76
16.397,66.79
16.404,66.8
16.419,66.82
16.426,66.83
16.441,66.85
16.448,66.86
16.47,66.89
16.477,66.9
16.492,66.92
16.499,66.93
16.514,66.95
16.521,66.96
16.543,66.99
16.55,67
16.55,67.01
16.56,67.02
16.59,67.05
16.59,67.06
16.6,67.07
16.61,67.08
16.63,67.11
16.64,67.12
16.67,67.16
16.68,67.17
16.71,67.2
16.71,67.21
16.72,67.22
16.73,67.23
16.75,67.26
16.76,67.27
16.79,67.31
16.8,67.32
16.83,67.36
16.84,67.37
16.87,67.41
16.88,67.42
16.91,67.46
16.91,67.45
16.92,67.47
16.93,67.48
16.95,67.51
16.95,67.5
16.96,67.52
16.97,67.53
16.99,67.56
16.99,67.55
17,67.57
17.01,67.58
17.03,67.61
17.04,67.62
17.07,67.66
17.08,67.67
17.11,67.71
17.12,67.72
17.15,67.76
17.16,67.77
17.19,67.8
17.19,67.81
17.2,67.82
17.21,67.83
17.23,67.86
17.24,67.87
17.27,67.91
17.28,67.92
17.31,67.96
17.32,67.97
17.35,68.01
17.36,68.02
17.39,68.06
17.4,68.07
17.43,68.11
17.44,68.12
17.47,68.16
17.48,68.17
17.51,68.21
17.52,68.22
17.55,68.26
17.56,68.27
17.59,68.31
17.59,68.3
17.6,68.32
17.61,68.33
17.63,68.36
17.64,68.37
17.67,68.41
17.68,68.42
17.71,68.46
17.72,68.47
17.75,68.51
17.76,68.52
17.79,68.56
17.8,68.57
17.83,68.61
17.83,68.6
17.84,68.62
17.85,68.63
17.87,68.66
17.87,68.65
17.88,68.67
17.89,68.68
17.91,68.71
17.91,68.7
17.92,68.72
17.93,68.73
17.95,68.76
17.95,68.75
17.96,68.77
17.97,68.78
17.99,68.8
17.99,68.81
18,68.82
18.01,68.83
18.03,68.85
18.03,68.86
18.04,68.87
18.05,68.88
18.07,68.91
18.08,68.92
18.11,68.96
18.12,68.97
18.15,69.01
18.15,69
18.16,69.02
18.17,69.03
18.19,69.06
18.2,69.07
18.23,69.11
18.24,69.12
18.27,69.16
18.28,69.17
18.31,69.21
18.31,69.2
18.32,69.22
18.33,69.23
18.35,69.26
18.36,69.27
18.39,69.31
18.4,69.32
18.43,69.36
18.44,69.37
18.47,69.4
18.47,69.41
18.48,69.42
18.49,69.43
18.51,69.46
18.52,69.47
18.55,69.51
18.56,69.52
18.59,69.56
18.6,69.57
18.63,69.61
18.64,69.62
18.67,69.66
18.68,69.67
18.71,69.71
18.72,69.72
18.75,69.75
18.75,69.76
18.76,69.77
18.77,69.78
18.79,69.81
18.8,69.82
18.83,69.86
18.83,69.85
18.84,69.87
18.85,69.88
18.87,69.9
18.87,69.91
18.88,69.92
18.89,69.93
18.91,69.96
18.92,69.97
18.95,70
