出库流量,下游水位
100,63
200,63.01
300,63.01
400,63.01
500,63.02
600,63.02
700,63.02
800,63.02
900,63.03
1000,63.03
1100,63.03
1200,63.03
1300,63.04
1400,63.04
1500,63.04
1600,63.04
1700,63.04
1800,63.05
1900,63.05
2000,63.05
2100,63.05
2200,63.06
2300,63.06
2400,63.06
2500,63.06
2600,63.07
2700,63.07
2800,63.07
2900,63.08
3000,63.08
3100,63.08
3200,63.08
3300,63.09
3400,63.09
3500,63.09
3600,63.09
3700,63.09
3800,63.1
3900,63.1
4000,63.1
4100,63.1
4200,63.1
4300,63.11
4400,63.11
4500,63.11
4600,63.11
4700,63.12
4800,63.12
4900,63.12
5000,63.13
5100,63.14
5200,63.14
5300,63.15
5400,63.16
5500,63.17
5600,63.18
5700,63.19
5800,63.19
5900,63.2
6000,63.21
6100,63.22
6200,63.22
6300,63.23
6400,63.24
6500,63.24
6600,63.25
6700,63.26
6800,63.27
6900,63.27
7000,63.28
7100,63.29
7200,63.3
7300,63.3
7400,63.31
7500,63.32
7600,63.33
7700,63.34
7800,63.34
7900,63.35
8000,63.36
8100,63.37
8200,63.37
8300,63.38
8400,63.39
8500,63.4
8600,63.4
8700,63.41
8800,63.42
8900,63.42
9000,63.43
9100,63.44
9200,63.44
9300,63.45
9400,63.46
9500,63.46
9600,63.47
9700,63.48
9800,63.49
9900,63.5
10000,63.51
10100,63.52
10200,63.53
10300,63.55
10400,63.56
10500,63.57
10600,63.58
10700,63.59
10800,63.61
10900,63.62
11000,63.63
11100,63.64
11200,63.65
11300,63.67
11400,63.68
11500,63.69
11600,63.7
11700,63.71
11800,63.73
11900,63.74
12000,63.75
12100,63.76
12200,63.78
12300,63.79
12400,63.8
12500,63.82
12600,63.83
12700,63.84
12800,63.86
12900,63.87
13000,63.88
13100,63.89
13200,63.9
13300,63.92
13400,63.93
13500,63.94
13600,63.95
13700,63.96
13800,63.98
13900,63.99
14000,64
14100,64.01
14200,64.02
14300,64.03
14400,64.05
14500,64.06
14600,64.07
14700,64.08
14800,64.09
14900,64.11
15000,64.12
15100,64.13
15200,64.15
15300,64.17
15400,64.19
15500,64.2
15600,64.22
15700,64.24
15800,64.26
15900,64.28
16000,64.3
16100,64.32
16200,64.34
16300,64.35
16400,64.37
16500,64.39
16600,64.41
16700,64.43
16800,64.44
16900,64.46
17000,64.48
17100,64.5
17200,64.52
17300,64.54
17400,64.56
17500,64.58
17600,64.59
17700,64.61
17800,64.63
17900,64.65
18000,64.67
18100,64.69
18200,64.71
18300,64.72
18400,64.74
18500,64.76
18600,64.78
18700,64.8
18800,64.81
18900,64.83
19000,64.85
19100,64.87
19200,64.89
19300,64.9
19400,64.92
19500,64.94
19600,64.96
19700,64.98
19800,64.99
19900,65.01
20000,65.03
20100,65.05
20200,65.07
20300,65.08
20400,65.1
20500,65.12
20600,65.14
20700,65.16
20800,65.17
20900,65.19
21000,65.21
21100,65.23
21200,65.25
21300,65.26
21400,65.28
21500,65.3
21600,65.32
21700,65.34
21800,65.35
21900,65.37
22000,65.39
22100,65.41
22200,65.42
22300,65.44
22400,65.46
22500,65.48
22600,65.49
22700,65.51
22800,65.52
22900,65.54
23000,65.56
23100,65.58
23200,65.6
23300,65.61
23400,65.63
23500,65.65
23600,65.67
23700,65.69
23800,65.7
23900,65.72
24000,65.74
24100,65.76
24200,65.78
24300,65.79
24400,65.81
24500,65.83
24600,65.85
24700,65.87
24800,65.88
24900,65.9
25000,65.92
25100,65.94
25200,65.96
25300,65.97
25400,65.99
25500,66.01
25600,66.03
25700,66.05
25800,66.06
25900,66.08
26000,66.1
26100,66.12
26200,66.14
26300,66.15
26400,66.17
26500,66.19
26600,66.21
26700,66.23
26800,66.24
26900,66.26
27000,66.28
27100,66.3
27200,66.32
27300,66.33
27400,66.35
27500,66.36
27600,66.38
27700,66.4
27800,66.42
27900,66.43
28000,66.45
28100,66.47
28200,66.49
28300,66.5
28400,66.52
