时段,乌东德入库流量,乌东德-白鹤滩区间来水,白鹤滩-溪洛渡区间来水,溪洛渡-向家坝区间来水,向家坝-三峡区间来水,三峡-葛洲坝区间来水
1,1356,84.09 ,223,152.8961268,2797,704.00 
2,1255,78.34 ,216,142.4383803,2485,627.00 
3,1211,82.81 ,203,150.5721831,2217,619.09 
4,1160,72.75 ,206,132.2711268,2264,728.00 
5,1101,68.97 ,194,125.3961268,2423,678.00 
6,1108,55.81 ,202,101.4788732,2780,813.75 
7,1133,76.00 ,294,138.1778169,3644,1650.00 
8,1075,72.43 ,285,131.6901408,3410,1149.00 
9,1125,77.12 ,191,140.2112676,4661,1890.00 
10,1195,72.48 ,166,131.7869718,7051,3414.00 
11,1265,73.12 ,108,132.9489437,5702,3317.00 
12,1468,84.25 ,114,153.1866197,2877,860.00 
13,1792,120.15 ,464,218.4507042,4294,-429.00 
14,1730,110.77 ,350,201.4084507,11210,5395.00 
15,1637,109.34 ,229,198.7940141,12241,6242.73 
16,2616,160.25 ,393,291.3644366,9571,3884.00 
17,4167,243.44 ,404,442.6144366,13099,3520.00 
18,6543,424.62 ,1430,772.0334507,13837,4380.00 
19,5777,428.61 ,2271,779.2957746,24042,12690.00 
20,3786,260.32 ,1102,473.3098592,10062,1830.00 
21,5189,343.29 ,671,624.1725352,14885,-818.18 
22,7464,500.83 ,1940,910.5985915,14426,760.00 
23,9545,640.36 ,2479,1164.295775,25856,860.00 
24,5561,391.44 ,1121,711.7077465,15027,3900.00 
25,4832,305.75 ,909,555.9066901,7149,583.00 
26,4010,275.18 ,1157,500.3257042,7953,1610.00 
27,4479,302.87 ,1208,550.6778169,9233,2140.00 
28,3734,250.63 ,972,455.6866197,7844,2602.00 
29,4084,261.97 ,835,476.3116197,6856,1431.00 
30,3861,291.96 ,1123,530.8274648,6589,1646.36 
31,3172,219.47 ,949,399.040493,6589,2466.00 
32,2392,159.50 ,603,290.0088028,6015,2128.00 
33,1956,130.80 ,500,237.8169014,4645,1472.00 
34,1727,109.18 ,323,198.5035211,4775,1959.00 
35,1602,97.62 ,231,177.4911972,3498,1223.00 
36,1380,96.77 ,272,175.9419014,3027,907.27 
