出库流量,下游水位
1500,372.15
2000,372.86
4000,376.7
6000,379.96
8000,382.93
10000,385.39
15000,390.62
20000,395.22
25000,399.27
1500,373.46
2000,373.95
4000,377.23
6000,380.29
8000,383.18
10000,385.45
15000,390.73
20000,395.36
25000,399.42
1500,375
2000,375.33
4000,378.01
6000,380.93
8000,383.57
10000,385.89
15000,390.95
20000,395.59
25000,399.58
1500,376.71
2000,376.94
4000,379.02
6000,381.57
8000,384.11
10000,386.3
15000,391.3
20000,395.84
25000,399.79
1500,378.5
2000,378.66
4000,380.42
6000,382.46
8000,384.75
10000,386.84
15000,391.73
20000,396.19
25000,400.03
1500,380.39
2000,380.52
4000,381.82
6000,383.62
8000,385.62
10000,387.55
15000,392.25
20000,396.6
25000,400.33
