出库流量,下游水位
4000,39.39
5000,39.9
6000,40.4
7000,40.88
8000,41.35
9000,41.82
10000,42.27
11000,42.71
12000,43.14
13000,43.56
14000,43.98
15000,44.38
16000,44.77
17000,45.16
18000,45.53
19000,45.9
20000,46.26
21000,46.6
22000,46.95
23000,47.28
24000,47.6
25000,47.92
26000,48.23
27000,48.53
28000,48.83
29000,49.12
30000,49.4
31000,49.68
32000,49.95
33000,50.21
34000,50.47
35000,50.72
36000,50.96
37000,51.2
38000,51.44
39000,51.67
40000,51.89
41000,52.11
42000,52.33
43000,52.54
44000,52.75
45000,52.95
46000,53.15
47000,53.35
48000,53.54
49000,53.73
50000,53.92
51000,54.1
52000,54.28
53000,54.46
54000,54.63
55000,54.81
56000,54.98
57000,55.15
58000,55.32
59000,55.49
60000,55.66
61000,55.82
62000,55.99
63000,56.15
64000,56.31
65000,56.48
66000,56.64
67000,56.8
68000,56.97
69000,57.13
70000,57.3
