名称,乌东德,白鹤滩,溪洛渡,向家坝
类型,大(一),大(一),大(一),大(一)
设计标准,0.10%,0.10%,0.10%,0.20%
(洪峰 m3/s),-35800,-40300,-43700,-41200
校核标准,0.02%,0.01%,0.01%,0.02%
(洪峰 m3/s),-40500,-48200,-50900,-48660
集水面积(万km2),40.61,43.03,45.44,45.88
正常蓄水位(m),975,825,600,380
正常蓄水位相应,127.1,216.49,133.65,95.6
水面面积（km²）,,,,
总库容(亿m3),74.08,206.27,126.7,51.63
死库容(亿m3),28.43,85.7,51.1,42.6
兴利库容(亿m3),30.2,104.36,64.6,9.03
防洪库容(亿m3),24.4,75,46.5,9.03
调节性能,季调节,年调节,不完全,"不完全
季调节"
,,,年调节,
装机容量(MW),10200,16000,13860,6400
坝型,混凝土,混凝土,混凝土,混凝土
,双曲拱坝,双曲拱坝,拱坝,重力坝
开工时间,—,—,2005.12,2006.11
建成时间,—,—,2013.5,2012.1
