OBJItemCode,所属电站,水头,出力
1,乌东德,106,69
1,乌东德,117,77
1,乌东德,127,82.8
1,乌东德,137,85
1,乌东德,143,85
1,乌东德,163.4,85
2,白鹤滩,165,75
2,白鹤滩,187,90
2,白鹤滩,202,100
2,白鹤滩,215,100
2,白鹤滩,220,100
2,白鹤滩,225,100
2,白鹤滩,230,100
2,白鹤滩,235,100
2,白鹤滩,240,100
2,白鹤滩,245,100
3,溪洛渡,154.6,51.1
3,溪洛渡,176,64.2
3,溪洛渡,186,70
3,溪洛渡,229.4,70
3,溪洛渡,154.6,51.6
3,溪洛渡,176,64.4
3,溪洛渡,186,70
3,溪洛渡,229.4,70
3,溪洛渡,154.6,51.1
3,溪洛渡,176,64.2
3,溪洛渡,186,70
3,溪洛渡,229.4,70
4,向家坝,82.5,59.1
4,向家坝,83,60
4,向家坝,84,61.1
4,向家坝,85,62.3
4,向家坝,89,67
4,向家坝,90,68.2
4,向家坝,93,71.7
4,向家坝,94,72.9
4,向家坝,96,75
4,向家坝,113.6,75
4,向家坝,82.5,56.6
4,向家坝,83,57.3
4,向家坝,84,58.6
4,向家坝,85,60
4,向家坝,86,61.3
4,向家坝,88,64
4,向家坝,89,65.3
4,向家坝,91,68
4,向家坝,92,69.3
4,向家坝,94,72
4,向家坝,95,73.3
4,向家坝,97,75
4,向家坝,113.6,75
5,三峡,61,44.4
5,三峡,62,45.9
5,三峡,62.5,46.5
5,三峡,63.5,47.8
5,三峡,64,48.6
5,三峡,65,50.3
5,三峡,65.5,51.1
5,三峡,66,51.8
5,三峡,66.5,52.6
5,三峡,68.5,55.7
5,三峡,69,56.2
5,三峡,72.5,59.6
5,三峡,73,60.2
5,三峡,75,63.1
5,三峡,80,69.6
5,三峡,85,70
5,三峡,115,70
5,三峡,71,58
5,三峡,71.1,58.2
5,三峡,71.2,58.3
5,三峡,71.3,58.5
5,三峡,71.5,58.8
5,三峡,71.6,59
5,三峡,71.7,59.1
5,三峡,71.8,59.3
5,三峡,72,59.6
5,三峡,72.1,59.8
5,三峡,72.3,60.1
5,三峡,72.4,60.3
5,三峡,72.5,60.4
5,三峡,72.6,60.6
5,三峡,72.8,60.9
5,三峡,72.9,61.1
5,三峡,73.1,61.4
5,三峡,73.2,61.6
5,三峡,73.3,61.7
5,三峡,73.4,61.9
5,三峡,73.6,62.2
5,三峡,73.7,62.4
5,三峡,73.9,62.7
5,三峡,74,62.9
5,三峡,74.1,63
5,三峡,74.2,63.2
5,三峡,74.4,63.5
5,三峡,74.5,63.7
5,三峡,74.7,64
5,三峡,74.8,64.2
5,三峡,74.9,64.3
5,三峡,75,64.5
5,三峡,75.1,64.6
5,三峡,75.2,64.8
5,三峡,75.3,64.9
5,三峡,75.5,65.2
5,三峡,75.6,65.3
5,三峡,75.9,65.7
5,三峡,76,65.8
5,三峡,76.2,66.1
5,三峡,76.3,66.2
5,三峡,76.5,66.5
5,三峡,76.6,66.6
5,三峡,76.9,67
5,三峡,77,67.1
5,三峡,77.2,67.4
5,三峡,77.3,67.5
5,三峡,77.5,67.8
5,三峡,77.6,67.9
5,三峡,77.9,68.3
5,三峡,78,68.4
5,三峡,78.2,68.7
5,三峡,78.3,68.8
5,三峡,78.5,69.1
5,三峡,78.6,69.2
5,三峡,78.9,69.6
5,三峡,79,69.7
5,三峡,79.2,70
5,三峡,113,70
5,三峡,61,46.4
5,三峡,62,47.8
5,三峡,65.5,52.6
5,三峡,66,53.3
5,三峡,68.5,56.5
5,三峡,69,57
5,三峡,71,59.5
5,三峡,72,61
5,三峡,75,63.1
5,三峡,80,69.3
5,三峡,85,70
5,三峡,115,70
5,三峡,61,2.84
5,三峡,61.5,2.89
5,三峡,62,2.93
5,三峡,62.5,2.98
5,三峡,63.5,3.07
5,三峡,64,3.12
5,三峡,64.5,3.16
5,三峡,65,3.21
5,三峡,66,3.3
5,三峡,66.5,3.35
5,三峡,67,3.39
5,三峡,67.5,3.44
5,三峡,68.5,3.53
5,三峡,69,3.58
5,三峡,69.5,3.62
5,三峡,70,3.67
5,三峡,70.5,3.71
5,三峡,71,3.76
5,三峡,72,3.85
5,三峡,72.5,3.9
5,三峡,73,3.94
5,三峡,73.5,3.99
5,三峡,74.5,4.08
5,三峡,75,4.13
5,三峡,75.5,4.17
5,三峡,76,4.22
5,三峡,77,4.31
5,三峡,77.5,4.36
5,三峡,78,4.4
5,三峡,78.5,4.45
5,三峡,79.5,4.54
5,三峡,80,4.59
5,三峡,80.5,4.63
5,三峡,81,4.68
5,三峡,82,4.77
5,三峡,82.5,4.82
5,三峡,83,4.86
5,三峡,83.5,4.91
5,三峡,84.5,5
5,三峡,113,5
5,三峡,61,44.9
5,三峡,63,47.7
5,三峡,71,58.5
5,三峡,75.5,64.2
5,三峡,78.5,68.7
5,三峡,85,70
5,三峡,120,70
5,三峡,60,39.7
5,三峡,61,40.9
5,三峡,66,46.8
5,三峡,67,48.1
5,三峡,68,49.3
5,三峡,69,50.6
5,三峡,70,51.8
