旬,乌东德_入库流量(m³/s),乌东德_出库流量(m³/s),乌东德-白鹤滩区间来水(m³/s),白鹤滩_出库流量(m³/s),白鹤滩-溪洛渡区间来水(m³/s),溪洛渡_出库流量(m³/s),溪洛渡-向家坝区间来水(m³/s),向家坝_出库流量(m³/s),向家坝-三峡区间来水(m³/s),三峡_出库流量(m³/s),三峡-葛洲坝区间来水(m³/s),葛洲坝_出库流量(m³/s)
1,1369,1442.5,94.05,1661.78,397,2135.86,171.0035211,2362.01,2726,5673.79,999,6715.04
2,1268,1268,87.29,1394.42,371,1765.42,158.7059859,1924.13,2202,5006.77,727,5733.77
3,1214,1214,90.7,1411.92,334,1745.92,164.903169,1910.82,1909,5005.27,608.18,5613.45
4,1121,1121,75.84,1466.56,303,1769.56,137.8873239,1907.44,1744,5025.05,512,5537.05
5,1100,1179.91,72.43,1600.35,260,1905.91,131.6901408,2037.6,1678,5100.09,413,5513.09
6,1097,1263.13,59.7,1559.61,304,1896.93,108.5475352,2005.48,1869,5064.24,443.75,5507.99
7,1086,1221.09,72.8,1556.59,281,1780.72,132.3679577,1913.09,1926,5016.47,536,5552.47
8,1090,1342.03,72,1610.57,262,1941.4,130.915493,2072.32,1964,5020.14,518,5538.14
9,1054,1909.75,74.99,2132.68,226,2267.82,136.3380282,2404.16,2325,5164.02,940,6104.02
10,1086,1566.95,67.85,2801.47,188,2989.47,123.3626761,3112.83,2265,5222.5,761,5983.5
11,1151,1384.08,73.97,2590.6,238,3231.89,134.4982394,3366.39,3384,8832.51,1614,10446.51
12,1240,1187.24,80.47,2351.62,271,3333.29,146.3116197,3479.61,6059,11086.19,3154,14240.19
13,1354,1184.75,84.04,2104.72,224,4029.34,152.7992958,4182.13,8542,9637.87,4642,14279.87
14,1415,1186.95,87.45,1614.91,227,2443.03,158.9964789,2602.03,14668,21304.12,8658,29962.12
15,1397,1281.36,96.24,2268.18,246,1913.06,174.9735915,2088.03,21248,28816.4,5789.09,34605.49
16,1520,2626.61,89.21,3233.01,155,3953.61,162.1919014,4115.81,15875,24796.77,8700,33496.77
17,3324,4007.82,144.22,5076.05,-616,5100.46,262.2183099,5897.63,8875,14772.63,3967,18739.63
18,6797,6136.12,368.22,6559.11,117,7961.31,669.4894366,8095.84,7849,15944.84,1518,17462.84
19,7557,7290.8,428.56,7259.87,490,7519.19,779.1989437,8833.35,17173,22716.42,3370,26086.42
20,9742,8592.29,582.31,8213.37,1192,8812.09,1058.75,9335.88,25166,30662.3,13080,43742.3
21,10107,8756.13,605.53,8358.19,229,7967.4,1100.96831,9068.37,15400,20276.47,2118.18,22394.65
22,8708,8708,509.99,8174.3,868,8395.19,927.2535211,9857.4,15594,23610.43,7490,31100.43
23,7813,9163.87,428.56,8508.52,234,8070.64,779.1989437,9099.58,13673,26412.73,5550,31962.73
24,12385,11034.13,787.35,10696.19,1055,11055.82,1431.549296,12332.75,18269,27464.65,5545.45,33010.1
25,8474,8474,488.74,7796.07,703,7779.17,888.6179577,8492.84,18753,26905.44,1880,28785.44
26,7813,7950.8,453.91,7195.22,710,7159.85,825.290493,7530.01,19557,26924.36,670,27594.36
27,7707,7569.2,431.91,7500.18,403,7556.91,785.2992958,8342.2,23190,26462.76,8110,34572.76
28,7137,7137,428.61,7565.61,911,8440.48,779.2957746,9219.77,13072,22291.77,4280,26571.77
29,6132,6132,428.51,6560.51,1914,8474.51,779.1021127,9253.61,15784,19950.92,4370,24320.92
30,4978,4978,381.11,5359.11,1527,6886.11,692.9225352,7579.03,11040,18619.03,4318.18,22937.21
31,3562,3562,246.26,3808.26,1062,4870.26,447.7464789,5318.01,8886,14204.01,3511,17715.01
32,2772,2772,186.83,2958.83,736,3694.83,339.6830986,4034.51,8272,12306.51,3358,15664.51
33,2274,2274,154.92,2428.92,635,3063.92,281.681338,3345.6,8323,11668.6,4265,15933.6
34,1944,1944,133.78,2077.78,568,2645.78,243.2394366,2889.02,5870,8759.02,2586,11345.02
35,1677,1677,115.14,1792.14,485,2277.14,209.3485915,2486.49,4509,6995.49,1853,8848.49
36,1485,1485,111.68,1596.68,421,2017.68,203.0545775,2220.73,3639,5859.73,1346.36,7206.09
